obj,running_time,gap
19129.375129665554,12.0363871,0.0
19233.135306439795,11.5244063,0.0
19177.825814594242,14.01346,0.0
19210.142540748595,11.3174092,0.0
19224.462732173983,8.9916046,0.0
19178.67248512686,12.4268682,0.0
19079.84163078937,14.5556795,0.0
19218.45593895892,12.2992283,0.0
19235.43499640018,12.2768214,0.0
19313.548314351163,11.3710685,0.0
20020.401395389665,9.4683769,0.0
19053.04818081303,10.4178611,0.0
19237.4528445609,10.3461865,0.0
19108.00580246221,13.628958,0.0
19266.43775048195,12.656546,0.0
19266.704457217507,10.7306578,0.0
19673.436064875084,10.3430873,0.0
19867.372020705217,7.7133174,0.0
19257.44559695796,9.7398566,0.0
18923.14729185721,12.4892266,0.0
19117.32202401931,12.0526752,0.0
19181.965695533585,12.3979666,0.0
19482.962799890363,12.1076374,0.0
19333.350409226437,11.5063196,0.0
19250.83589889807,11.7824126,0.0
19375.905193577535,9.3959125,0.0
19324.23056779521,12.6405372,0.0
19346.451356498168,13.5024913,0.0
19054.883655325655,13.9108662,0.0
19140.207275009376,11.5127134,0.0
