obj,running_time,gap
22312.345523751264,20.2460364,0.0
22364.842923398923,20.1654213,0.0
22597.01919949614,20.7055676,0.0
22191.157064240186,20.2671325,0.0
22520.71615822798,20.2231093,0.0
22458.74929913092,20.4796706,0.0
22364.607979585977,20.2584284,0.0
22322.465797845165,20.2376893,0.0
22539.827417027533,20.5519959,0.0
22390.141598454862,20.1498102,0.0
22633.451627829116,20.2033231,0.0
22533.44851787362,20.7323682,0.0
22465.462770361788,20.1310112,0.0
22635.502377141267,20.1495722,0.0
22678.968506243345,20.2250967,0.0
22307.01198515934,20.625447,0.0
22319.117151870723,20.1841145,0.0
22347.31653234556,20.1844997,0.0
22316.75201405119,20.7651081,0.0
21434.35768754222,20.2460458,0.0
21997.80934546447,20.1655098,0.0
22615.22321024192,20.6218875,0.0
22441.867370492488,20.2887108,0.0
22363.333785367005,20.1809517,0.0
22277.186554623047,20.7285601,0.0
22621.715394417144,20.2745605,0.0
22225.193863680382,20.2280906,0.0
22632.624422703586,20.3783079,0.0
22373.38229824973,20.4978619,0.0
22450.053876121427,20.1838482,0.0
