obj,running_time,gap
111670.06486013251,94.7606721,0.0
111714.95332556854,138.8597169,0.0
111860.4217476382,84.2495244,0.0
111578.47422974055,118.0837308,0.0
111508.55880784326,112.2788023,0.0
111530.36669010384,112.2379541,0.0
111767.20360974368,189.5979192,0.0
112323.85242675833,83.9770665,0.0
111345.91120653598,128.6317199,0.0
112027.05359652937,284.2239761,0.0
111565.16341300056,121.3619894,0.0
111133.98850707132,200.6310069,0.0
111528.80773651923,128.1390835,0.0
110957.97167827148,134.3853437,0.0
111733.53696989766,90.2577981,0.0
111593.68493125773,88.7847051,0.0
111852.49417964462,234.7207178,0.0
111810.55595261086,78.0475491,0.0
111289.34024802045,104.9706825,0.0
111313.36439859573,107.6220688,0.0
111482.23184879002,106.5393587,0.0
111790.53247111563,117.8265898,0.0
111369.56145446708,133.5720266,0.0
111606.73726672224,94.4678105,0.0
111591.68359789922,150.5734821,0.0
111976.82627684205,73.044971,0.0
111565.25567509912,116.6512753,0.0
111895.65706914883,275.1859165,0.0
111360.09192959704,145.9378924,0.0
111487.75929088426,101.5632699,0.0
