obj,running_time,gap
166475.90972126552,20.9568974,0.0
167070.58283687482,15.2128153,0.0
166423.64774172765,20.4027503,0.0
166560.32794513906,21.1595616,0.0
166937.2986885306,17.7260129,0.0
166679.63229262226,26.5687053,0.0
166370.69613252167,29.3247427,0.0
167281.0692002121,14.7764921,0.0
167265.04473808312,20.4559399,0.0
167100.52343433414,22.5129294,0.0
166877.56805570313,14.3032526,0.0
166789.9248638896,23.8843121,0.0
166557.0318565905,20.659033,0.0
166541.77101614172,23.5576729,0.0
166841.5277511714,18.9199092,0.0
166583.90354512745,21.9810602,0.0
167215.80633013716,17.3080031,0.0
166294.54788675334,25.9644521,0.0
166946.24230234287,23.6228014,0.0
167061.94871206445,14.2038353,0.0
166937.9613095921,20.2001285,0.0
166455.15674387518,31.0319992,0.0
166861.260115898,17.3215722,0.0
167143.9317876653,18.2895358,0.0
167168.2304829239,18.1266169,0.0
166997.62423316026,19.0863017,0.0
167129.44123311085,14.4353496,0.0
166675.4960690939,26.2492076,0.0
166986.34872645666,18.0742841,0.0
167083.81974651446,13.4889846,0.0
