obj,running_time,gap
18622.81265880717,16.1755512,0.0
19227.7199610763,14.9192113,0.0
18628.81065654343,18.1343418,0.0
18785.398331518278,16.6512852,0.0
18495.99719613595,22.7787056,0.0
18494.013081464804,14.318226,0.0
18731.639899889196,17.2847981,0.0
18806.507441644288,15.3877818,0.0
18398.193391728906,15.3239899,0.0
18870.383199456286,10.6439449,0.0
18652.925031142087,19.8675334,0.0
18482.39624355131,22.5820955,0.0
18659.43455281693,15.67704,0.0
18627.59892358589,15.4809702,0.0
18653.92576355613,18.1377068,0.0
18716.330865486347,13.4186874,0.0
18661.075180890963,16.4619532,0.0
18782.870363556423,20.3096023,0.0
18644.833172464852,15.1700699,0.0
18864.315414865916,11.5424983,0.0
18910.2136984984,14.57169,0.0
19440.186861205817,8.2380776,0.0
18757.64979612404,18.0476114,0.0
18619.052678269312,18.5625824,0.0
18675.88791700179,20.2816419,0.0
18392.59671315566,20.7598429,0.0
18570.567643950206,17.6431122,0.0
18551.13510444654,17.6292879,0.0
18612.216825725915,15.5163454,0.0
19211.941452731233,16.4832752,0.0
