obj,running_time,gap
43418.24180734773,68.1234538,0.0
43137.69250592131,68.4319184,0.0
42935.41639481903,68.3481685,0.0
43548.3770471978,68.8899963,0.0
43420.341609547126,69.086444,0.0
43576.88952670454,68.7727473,0.0
43483.20823146118,68.1367916,0.0
43425.65922285023,68.291204,0.0
43039.48380637209,68.2912882,0.0
43068.81275574958,70.6131347,0.0
43247.826724753955,76.8300026,0.0
43491.55137342465,76.6942741,0.0
43592.065247956685,77.3475141,0.0
43382.239514788045,76.7791148,0.0
43204.85534867328,76.8853008,0.0
43644.049294754856,77.4109149,0.0
43542.26900653225,77.1536272,0.0
43487.52001751866,76.7243376,0.0
43263.657399025775,69.3902842,0.0
43445.173976514845,68.1321187,0.0
42936.356533286744,63.8593516,0.0
43700.142914137505,64.2370177,0.0
43186.01040395258,72.8278683,0.0
43421.2610232904,72.5539079,0.0
42647.02276135607,72.2021324,0.0
43500.63228818723,71.8315706,0.0
43848.615912037036,70.9444485,0.0
43654.48202614081,70.5870915,0.0
43715.14886802999,69.9502505,0.0
43216.384409664344,69.1849561,0.0
