obj,running_time,gap
18061.810784285353,10.189133,0.0
17998.06172340423,13.1909009,0.0
18311.39998333891,12.0123086,0.0
18364.0965728215,7.6044194,0.0
17871.28248940507,12.8372889,0.0
18311.266147646515,8.035908,0.0
18041.981319133345,10.5588051,0.0
18424.29002322728,9.3228617,0.0
17820.417631367527,14.1560031,0.0
17973.905086938168,10.7489366,0.0
18038.712073766266,11.1612122,0.0
17784.66871271719,14.1710363,0.0
17946.419601537844,11.5553107,0.0
17798.944610698323,13.8001096,0.0
18283.259233244553,11.5878545,0.0
17949.3588817075,11.6238515,0.0
18106.558856368785,11.6690623,0.0
18107.338717519175,11.6631525,0.0
18268.354105824685,10.1518089,0.0
18456.132086024158,10.0321208,0.0
18102.403990976563,10.263508,0.0
17831.999042099367,12.1286393,0.0
17947.31895031501,11.0313515,0.0
18373.81191438017,10.7280122,0.0
18188.216220987106,9.2520894,0.0
18149.82637603928,15.2847404,0.0
18130.460805763694,10.3312299,0.0
18028.71933687842,10.0736924,0.0
18170.666380581762,10.6085517,0.0
18163.746388398285,8.5700104,0.0
