obj,running_time,gap
87623.51547298493,63.68408,0.0
87464.31699356384,84.3639796,0.0
87385.72451626735,69.6268994,0.0
88037.12745829548,50.2569766,0.0
87444.12099613824,65.3890422,0.0
87678.62551871598,52.6148032,0.0
87701.45534238676,54.5432377,0.0
87615.27691941454,71.860341,0.0
87699.7860029571,55.9737577,0.0
87340.0702025157,83.6018889,0.0
87439.99289522295,98.9473014,0.0
87554.30603539491,63.332022,0.0
87481.49969559495,68.3770826,0.0
88161.64056720756,40.5958764,0.0
87908.82269123071,56.2752276,0.0
87254.33186593626,89.1681757,0.0
87671.38593209643,65.6282092,0.0
87726.37235211777,58.779896,0.0
87667.26061307621,72.6769272,0.0
87572.9830976593,79.273927,0.0
87985.16945413289,52.6629312,0.0
87190.75565972325,71.1656571,0.0
87272.71575060209,73.046135,0.0
87247.2583128036,59.1334637,0.0
88035.06125537716,50.2956522,0.0
88080.67843289545,45.8211725,0.0
87492.31698533581,74.8061644,0.0
86939.1824003872,102.3513268,0.0
87166.91096517461,66.2359232,0.0
87259.47347693988,83.9321958,0.0
