obj,running_time,gap
7292.733838294931,0.0507198,0.0
7292.733838294931,0.0529037,0.0
7292.733838294931,0.0532701,0.0
7292.733838294931,0.0545739,0.0
7292.733838294931,0.0640346,0.0
7292.733838294931,0.0510242,0.0
7292.733838294931,0.0527576,0.0
7292.733838294931,0.0508232,0.0
7292.733838294931,0.0532995,0.0
7292.733838294931,0.0560555,0.0
7292.733838294931,0.0631035,0.0
7292.733838294931,0.0495978,0.0
7292.733838294931,0.0521881,0.0
7292.733838294931,0.0523771,0.0
7292.733838294931,0.0530723,0.0
7292.733838294931,0.0536328,0.0
7292.733838294931,0.0800996,0.0
7292.733838294931,0.054131,0.0
7292.733838294931,0.0553557,0.0
7292.733838294931,0.050835,0.0
7292.733838294931,0.0813529,0.0
7292.733838294931,0.0641399,0.0
7292.733838294931,0.0652863,0.0
7292.733838294931,0.0504553,0.0
7292.733838294931,0.0532754,0.0
7292.733838294931,0.0518031,0.0
7292.733838294931,0.0530016,0.0
7292.733838294931,0.0543565,0.0
7292.733838294931,0.0552591,0.0
7292.733838294931,0.0606428,0.0
